Step,Reward,F1
70401,119.8,0.3138
70407,119.8,0.3138
70413,119.8,0.3138
70419,119.8,0.3138
70425,119.8,0.3138
70431,119.8,0.3138
70437,119.8,0.3138
70443,119.8,0.3138
70449,119.8,0.3138
70455,119.8,0.3138
70461,119.8,0.3138
70467,119.8,0.3138
70473,119.8,0.3138
70479,119.8,0.3138
70485,119.8,0.3138
70491,119.8,0.3138
70497,119.8,0.3138
70503,119.8,0.3138
70509,119.8,0.3138
70515,119.8,0.3138
70520,119.8,0.3138
70526,119.8,0.3138
70531,119.8,0.3138
70537,119.8,0.3138
70543,119.8,0.3138
70549,119.8,0.3138
70555,119.8,0.3138
70561,119.8,0.3138
70567,119.8,0.3138
70573,119.8,0.3138
70579,119.8,0.3138
70585,119.8,0.3138
70591,119.8,0.3138
70597,119.8,0.3138
70603,119.8,0.3138
70609,119.8,0.3138
70615,119.8,0.3138
70621,119.8,0.3138
70627,119.8,0.3138
70633,119.8,0.3138
70639,119.8,0.3138
70645,119.8,0.3138
70651,119.8,0.3138
70657,119.8,0.3138
70663,119.8,0.3138
70669,119.8,0.3138
70675,119.8,0.3138
70681,119.8,0.3138
70687,119.8,0.3138
70693,119.8,0.3138
70699,119.8,0.3138
70705,119.8,0.3138
70711,119.8,0.3138
70716,119.8,0.3138
70721,119.8,0.3138
70727,119.8,0.3138
70733,119.8,0.3138
70738,119.8,0.3138
70744,119.8,0.3138
70749,119.8,0.3138
70756,119.8,0.3138
70762,119.8,0.3138
70768,119.8,0.3138
70774,119.8,0.3138
70781,119.8,0.3138
70788,119.8,0.3138
70794,119.8,0.3138
70801,119.8,0.3138
70807,119.8,0.3138
70813,119.8,0.3138
70819,119.8,0.3138
70825,119.8,0.3138
70830,119.8,0.3138
70836,119.8,0.3138
70842,119.8,0.3138
70848,119.8,0.3138
70854,119.8,0.3138
70860,119.8,0.3138
70865,119.8,0.3138
70870,119.8,0.3138
70875,119.8,0.3138
70880,119.8,0.3138
70886,119.8,0.3138
70892,119.8,0.3138
70898,119.8,0.3138
70904,119.8,0.3138
70910,119.8,0.3138
70916,119.8,0.3138
70922,119.8,0.3138
70928,119.8,0.3138
70934,119.8,0.3138
70940,119.8,0.3138
70946,119.8,0.3138
70952,119.8,0.3138
70958,119.8,0.3138
70964,119.8,0.3138
70970,119.8,0.3138
70976,119.8,0.3138
70982,119.8,0.3138
70988,119.8,0.3138
70994,119.8,0.3138
79998,130.8,0.3814
80004,130.8,0.3814
80010,130.8,0.3814
80017,130.8,0.3814
80024,130.8,0.3814
